Link;Preco;Endereco;Tipo;Area
https://www.chavesnamao.com.br/imovel/apartamento-a-venda-2-quartos-com-garagem-pi-teresina-gurupi-52m2-RS220000/id-25106963/;R$ 220.000;Rua Engenheiro Eduardo De Almendra Freitas, Gurupi, Teresina/PI;apartamento;52m² / 52m²
https://www.chavesnamao.com.br/imovel/apartamento-a-venda-2-quartos-com-garagem-pi-teresina-gurupi-52m2-RS220000/id-25256534/;R$ 220.000;Rua Engenheiro Eduardo De Almendra Freitas, Gurupi, Teresina/PI;apartamento;52m² / 52m²
https://www.chavesnamao.com.br/imovel/apartamento-a-venda-2-quartos-com-garagem-pi-teresina-horto-107m2-RS650000/id-27775490/;R$ 650.000;Avenida Homero Castelo Branco, Horto, Teresina/PI;apartamento;107m² / 107m²
https://www.chavesnamao.com.br/imovel/apartamento-a-venda-2-quartos-com-garagem-pi-teresina-horto-108m2-RS650000/id-28081179/;R$ 650.000;Avenida Homero Castelo Branco, Horto, Teresina/PI;apartamento;108m² / 108m²
https://www.chavesnamao.com.br/imovel/apartamento-a-venda-2-quartos-com-garagem-pi-teresina-horto-62m2-RS422870/id-16854355/;R$ 422.870;Rua Acésio Do Rêgo Monteiro, Horto, Teresina/PI;apartamento;62m² / 62m²
https://www.chavesnamao.com.br/imovel/apartamento-a-venda-2-quartos-com-garagem-pi-teresina-horto-70m2-RS250000/id-25733187/;R$ 250.000;Rua Motorista Chicão, 3267, Horto, Teresina/PI;apartamento;70m² / 70m²
https://www.chavesnamao.com.br/imovel/apartamento-a-venda-2-quartos-com-garagem-pi-teresina-horto-75m2-RS430000/id-29487829/;R$ 430.000;Av. Visconde Da Parnaiba, 1770, Horto, Teresina/PI;apartamento;75m² / 75m²
https://www.chavesnamao.com.br/imovel/apartamento-a-venda-2-quartos-com-garagem-pi-teresina-horto-80m2-RS590000/id-29110665/;R$ 590.000;Rua Jornalista Dondon, 2932, Horto, Teresina/PI;apartamento;80m² / 80m²
https://www.chavesnamao.com.br/imovel/apartamento-a-venda-2-quartos-com-garagem-pi-teresina-horto-80m2-RS590000/id-29110741/;R$ 590.000;Rua Jornalista Dondon, 2932, Horto, Teresina/PI;apartamento;80m² / 80m²
https://www.chavesnamao.com.br/imovel/apartamento-a-venda-2-quartos-com-garagem-pi-teresina-horto-80m2-RS750000/id-29110706/;R$ 750.000;Rua Jornalista Dondon, 2932, Horto, Teresina/PI;apartamento;80m² / 80m²
https://www.chavesnamao.com.br/imovel/apartamento-a-venda-2-quartos-com-garagem-pi-teresina-horto-RS660000/id-28283861/;R$ 660.000;Jorn. Dondon, 2933, 2933, Horto, Teresina/PI;apartamento;80m²
https://www.chavesnamao.com.br/imovel/apartamento-a-venda-2-quartos-com-garagem-pi-teresina-ilhotas-150m2-RS530000/id-26994863/;R$ 530.000;Avenida Marechal Castelo Branco, 800, Ilhotas, Teresina/PI;apartamento;150m² / 150m²
https://www.chavesnamao.com.br/imovel/apartamento-a-venda-2-quartos-com-garagem-pi-teresina-ininga-63m2-RS350000/id-26303233/;R$ 350.000;Rua Acésio Do Rêgo Monteiro, Ininga, Teresina/PI;apartamento;63m² / 63m²
https://www.chavesnamao.com.br/imovel/apartamento-a-venda-2-quartos-com-garagem-pi-teresina-ininga-63m2-RS350000/id-29110671/;R$ 350.000;Rua Acésio Do Rêgo Monteiro, 600, Ininga, Teresina/PI;apartamento;63m² / 63m²
https://www.chavesnamao.com.br/imovel/apartamento-a-venda-2-quartos-com-garagem-pi-teresina-ininga-70m2-RS320000/id-26905365/;R$ 320.000;Rua Regina Lopes, 1655, Ininga, Teresina/PI;apartamento;70m² / 70m²
https://www.chavesnamao.com.br/imovel/apartamento-a-venda-2-quartos-com-garagem-pi-teresina-ininga-72m2-RS250000/id-3464387/;R$ 250.000;Rua Adalberto Correia Lima, Ininga, Teresina/PI;apartamento;72m² / 72m²
https://www.chavesnamao.com.br/imovel/apartamento-a-venda-2-quartos-com-garagem-pi-teresina-ininga-78m2-RS200000/id-3464062/;R$ 200.000;Rua Fidalma Martins De Carvalho, Ininga, Teresina/PI;apartamento;78m² / 78m²
https://www.chavesnamao.com.br/imovel/apartamento-a-venda-2-quartos-com-garagem-pi-teresina-ininga-RS348000/id-28960595/;R$ 348.000;Rua Regina Lopes, 1655, Ininga, Teresina/PI;apartamento;70m²
https://www.chavesnamao.com.br/imovel/apartamento-a-venda-2-quartos-com-garagem-pi-teresina-itarare-RS329000/id-28345268/;R$ 329.000;Quadra 137, Itararé, Teresina/PI;apartamento;6.465m²
https://www.chavesnamao.com.br/imovel/apartamento-a-venda-2-quartos-com-garagem-pi-teresina-joquei-100m2-RS850000/id-28716641/;R$ 850.000;Rua General Lages, Jóquei, Teresina/PI;apartamento;100m² / 100m²
https://www.chavesnamao.com.br/imovel/apartamento-a-venda-2-quartos-com-garagem-pi-teresina-joquei-115m2-RS450000/id-27181858/;R$ 450.000;Avenida Jóquei Clube, Jóquei, Teresina/PI;apartamento;115m² / 115m²
